GEOID,NAME,NAMELSAD,COUNTY,TOTAL_PARCELS,PCT_PARCELS_RISK_2024,PCT_PARCELS_RISK_2050,MARKET_VALUE_RISK_2024,MARKET_VALUE_RISK_2050,TAX_RISK_2024,TAX_RISK_2050,CRISIS_PARCELS,EMIGRATING_PARCELS,DESTINATION_PARCELS,STABLE_PARCELS,CRISIS_PARCELS_PCT,EMIGRATING_PARCELS_PCT,DESTINATION_PARCELS_PCT,STABLE_PARCELS_PCT,TOTAL_AIRPORTS,AIRPORTS_2025,PCT_AIRPORTS_2025,AIRPORTS_2050,PCT_AIRPORTS_2050,TOTAL_HOSPITALS,HOSPITALS_2025,PCT_HOSPITALS_2025,HOSPITAL_2050,PCT_HOSPITALS_2050,TOTAL_KNOWN_CONTAMINATED_SITE,KNOWN_CONTAMINATED_SITE_2025,PCT_KNOWN_CONTAMINATED_SITE_2025,KNOWN_CONTAMINATED_SITE_2050,PCT_KNOWN_CONTAMINATED_SITE_2050,TOTAL_LIBRARY,LIBRARY_2025,PCT_LIBRARY_2025,LIBRARY_2050,PCT_LIBRARY_2050,TOTAL_PARKS,PARKS_2025,PCT_PARKS_2025,PARKS_2050,PCT_PARKS_2050,TOTAL_POWERPLANTS,POWERPLANTS_2025,PCT_POWERPLANTS_2025,POWERPLANTS_2050,PCT_POWERPLANTS_2050,TOTAL_SCHOOL,SCHOOL_2025,PCT_SCHOOL_2025,SCHOOL_2050,PCT_SCHOOL_2050,TOTAL_SOLID_HAZARD_WASTE,SOLID_HAZARD_WASTE_2025,PCT_SOLID_HAZARD_WASTE_2025,SOLID_HAZARD_WASTE_2050,PCT_SOLID_HAZARD_WASTE_2050,TOTAL_SOLID_WASTE_LANDFILL,SOLID_WASTE_LANDFILL_2025,PCT_SOLID_WASTE_LANDFILL_2025,SOLID_WASTE_LANDFILL_2050,PCT_SOLID_WASTE_LANDFILL_2050,TOTAL_SUPERFUND,SUPERFUND_2025,PCT_SUPERFUND_2025,SUPERFUND_2050,PCT_SUPERFUND_2050,TOTAL_WASTEWATER_TREATMENT,WASTEWATER_TREATMENT_2025,PCT_WASTEWATER_TREATMENT_2025,WASTEWATER_TREATMENT_2050,PCT_WASTEWATER_TREATMENT_2050
34021,Mercer,Mercer County,MERCER,125567,0.0265,0.0734,1809613129,5357331669,32064131,92425589,5325,3819,52467,63125,0.042,0.03,0.418,0.503,3,0,0,,0,11,0,0,0,0,341,53,15.5,89,26.1,16,1,6.3,2,12.5,147,64,43.5,78,53.1,26,0,0,2,7.7,159,3,1.9,12,7.5,9,3,33.3,3,33.3,9,1,11.1,1,11.1,,,,,,9,6,66.7,6,66.7
34023,Middlesex,Middlesex County,MIDDLESEX,245357,0.0332,0.0948,5001123367,14651423281,109865584,317814089,8637,14539,66034,155906,0.035,0.059,0.269,0.635,1,0,0,,0,15,0,0,0,0,740,131,17.7,207,28,31,4,12.9,7,22.6,212,109,51.4,125,59,63,7,11.1,13,20.6,304,8,2.6,28,9.2,26,3,11.5,5,19.2,49,10,20.4,14,28.6,14,4,28.6,5,35.7,2,0,0,0,0
34025,Monmouth,Monmouth County,MONMOUTH,228537,0.093,0.1851,14530094796,32961397263,189047972,415225815,13536,28758,37138,148981,0.059,0.126,0.163,0.652,5,0,0,1,20,15,2,13.3,8,53.3,545,104,19.1,171,31.4,38,5,13.2,12,31.6,246,138,56.1,170,69.1,26,3,11.5,5,19.2,289,14,4.8,46,15.9,19,1,5.3,1,5.3,29,6,20.7,10,34.5,9,1,11.1,2,22.2,15,5,33.3,8,53.3
34027,Morris,Morris County,MORRIS,175980,0.0421,0.1099,4327010381,12490070104,65270581,217045289,3584,15759,24965,131158,0.02,0.09,0.142,0.745,2,2,100,2,100,12,0,0,2,16.7,390,82,21,128,32.8,36,4,11.1,6,16.7,163,64,39.3,74,45.4,14,0,0,1,7.1,220,2,0.9,18,8.2,14,1,7.1,3,21.4,21,3,14.3,4,19,9,4,44.4,5,55.6,23,9,39.1,13,56.5
34029,Ocean,Ocean County,OCEAN,295392,0.2582,0.3426,66054490124,78938946142,667873261,832577858,39704,60020,133642,60381,0.134,0.203,0.452,0.204,4,0,0,1,25,17,2,11.8,3,17.6,178,36,20.2,63,35.4,22,5,22.7,8,36.4,180,142,78.9,151,83.9,18,2,11.1,3,16.7,296,10,3.4,30,10.1,10,,0,,0,29,0,0,1,3.4,4,0,0,1,25,4,1,25,2,50
34031,Passaic,Passaic County,PASSAIC,125803,0.0519,0.149,3461165832,10125586790,79697897,243847835,5680,13059,44739,62275,0.045,0.104,0.356,0.495,2,0,0,,0,8,2,25,2,25,451,105,23.3,166,36.8,21,3,14.3,7,33.3,116,53,45.7,74,63.8,6,3,50,3,50,211,10,4.7,44,20.9,13,3,23.1,6,46.2,9,1,11.1,3,33.3,1,0,0,0,0,10,5,50,8,80
34033,Salem,Salem County,SALEM,31054,0.2049,0.3712,1197743777,2477984771,36120595,69144600,9999,911,11989,7206,0.322,0.029,0.386,0.232,7,0,0,3,42.9,3,1,33.3,1,33.3,97,27,27.8,47,48.5,4,,0,1,25,13,11,84.6,12,92.3,4,0,0,2,50,35,2,5.7,10,28.6,5,1,20,1,20,15,1,6.7,2,13.3,1,0,0,1,100,7,7,100,7,100
34035,Somerset,Somerset County,SOMERSET,117752,0.0289,0.0838,1691451570,5412694808,29270732,101438816,3331,6534,15450,92437,0.028,0.055,0.131,0.785,3,0,0,,0,4,0,0,0,0,239,37,15.5,61,25.5,19,1,5.3,2,10.5,149,89,59.7,94,63.1,23,1,4.3,1,4.3,147,6,4.1,16,10.9,8,,0,1,12.5,17,5,29.4,7,41.2,6,1,16.7,2,33.3,13,7,53.8,10,76.9
34037,Sussex,Sussex County,SUSSEX,74022,0.0163,0.0622,261496190,1372361357,4396791,31425419,564,4039,15762,53581,0.762,0.055,0.213,0.724,2,0,0,2,100,2,0,0,0,0,105,19,18.1,25,23.8,7,2,28.6,2,28.6,79,39,49.4,47,59.5,10,0,0,1,10,58,,0,5,8.6,6,,0,,0,10,0,0,1,10,3,0,0,0,0,10,2,20,3,30
34039,Union,Union County,UNION,147992,0.0525,0.1868,5196910802,15098093834,122615400,428809612,13781,13662,49428,70884,0.093,0.092,0.334,0.479,2,0,0,1,50,16,1,6.3,3,18.8,627,138,22,250,39.9,24,1,4.2,7,29.2,169,62,36.7,97,57.4,19,9,47.4,10,52.6,251,15,6,52,20.7,18,6,33.3,8,44.4,15,8,53.3,12,80,2,2,100,2,100,5,4,80,4,80
34041,Warren,Warren County,WARREN,46295,0.0399,0.0933,322288043,1180540717,7604273,27573324,2100,2221,21891,20072,0.045,0.048,0.473,0.434,8,1,12.5,2,25,4,0,0,0,0,98,17,17.3,27,27.6,9,1,11.1,1,11.1,51,31,60.8,32,62.7,13,0,0,0,0,45,1,2.2,6,13.3,4,,0,,0,11,0,0,0,0,1,0,0,0,0,7,3,42.9,4,57.1
